iter	RMSE
0	428.5649428
1	409.4305855
2	391.8640078
3	376.5763809
4	360.986589
5	346.0065998
6	332.2246789
7	318.5308774
8	304.9521576
9	293.4638328
10	281.2858268
11	269.7125761
12	259.4108923
13	249.5239099
14	239.631636
15	230.8480916
16	222.3878102
17	213.4829749
18	205.9858151
19	198.3614636
20	191.1090552
21	184.0244254
22	177.5022982
23	171.6839449
24	165.4646647
25	159.9765991
26	154.5064109
27	149.5155062
28	144.6676805
29	139.9543441
30	135.6049493
31	131.5590535
32	127.513546
33	123.9334339
34	120.253322
35	116.800518
36	113.550689
37	110.5675052
38	107.582472
39	104.8986457
40	102.3140092
41	99.56389737
42	97.28181521
43	95.00672932
44	92.84922646
45	90.82039583
46	88.74701089
47	86.76673414
48	84.97382278
49	83.45486695
50	81.7139222
51	80.08610158
52	78.69735145
53	77.34330868
54	75.88667651
55	74.50833052
56	73.37078116
57	72.33620429
58	71.33438478
59	70.33869616
60	69.44784343
61	68.35142316
62	67.4351338
63	66.69542418
64	65.88144507
65	65.10128995
66	64.39598712
67	63.70341197
68	63.08961912
69	62.40759652
70	61.74660323
71	61.13340132
72	60.53249469
73	60.08567369
74	59.61545825
75	59.17053856
76	58.6913755
77	58.40842036
78	57.91093557
79	57.51115894
80	57.07595012
81	56.68090907
82	56.24875751
83	55.96022519
84	55.6031945
85	55.23397756
86	54.94887445
87	54.65500965
88	54.36186486
89	54.05281852
90	53.77208058
91	53.45837405
92	53.24606727
93	52.99191462
94	52.67978659
95	52.43434673
96	52.18673318
97	51.99957638
98	51.76738767
99	51.51152484
100	51.28517181
101	51.16003174
102	50.94422211
103	50.70989926
104	50.49902627
105	50.36413258
106	50.17307494
107	49.9712438
108	49.83082296
109	49.65047495
110	49.49521205
111	49.31262679
112	49.166566
113	48.97304879
114	48.85223534
115	48.67804778
116	48.54615339
117	48.37493552
118	48.2441469
119	48.14067293
120	48.05453828
121	47.91020322
122	47.70553713
123	47.58220613
124	47.44343813
125	47.31254513
126	47.19903011
127	47.07416415
128	46.96712394
129	46.85356483
130	46.75425835
131	46.68741208
132	46.52825224
133	46.42725293
134	46.33626492
135	46.22885759
136	46.15183909
137	46.0146884
138	45.95557705
139	45.84071118
140	45.7183816
141	45.59241043
142	45.47315282
143	45.37164319
144	45.2023416
145	45.0935225
146	44.95884508
147	44.90534823
148	44.80441205
149	44.68220343
150	44.58571084
151	44.45961585
152	44.32271559
153	44.21190802
154	44.09454862
155	43.99098086
156	43.95866632
157	43.91268468
158	43.83836987
159	43.74036577
160	43.62093855
161	43.58994337
162	43.52074069
163	43.4687977
164	43.29739146
165	43.23410303
166	43.17018232
167	43.11569432
168	43.03205429
169	42.96461564
170	42.86690898
171	42.78832283
172	42.73283259
173	42.71199788
174	42.58129867
175	42.52225077
176	42.45386496
177	42.4036109
178	42.35080585
179	42.28415013
180	42.2345751
181	42.08282164
182	41.96754303
183	41.94856787
184	41.83012879
185	41.73458622
186	41.70872282
187	41.56440844
188	41.49429459
189	41.39790823
190	41.37353139
191	41.28882916
192	41.26619369
193	41.24588453
194	41.19352262
195	41.08795587
196	41.03304935
197	40.94037258
198	40.88776308
199	40.82915781
200	40.76531196
201	40.67870084
202	40.6415865
203	40.61969063
204	40.59613587
205	40.53739884
206	40.46233366
207	40.36694156
208	40.22852303
209	40.13506126
210	40.07006001
211	39.96053255
212	39.9420866
213	39.92087951
214	39.88832139
215	39.80694245
216	39.74689994
217	39.67073463
218	39.54265589
219	39.4739008
220	39.34808975
221	39.28509215
222	39.20695167
223	39.1952745
224	39.18050023
225	39.16640309
226	39.0163984
227	38.89850773
228	38.79475359
229	38.68235255
230	38.67245062
231	38.59626684
232	38.50920051
233	38.43555362
234	38.42204088
235	38.31747516
236	38.22577217
237	38.16550687
238	38.09219017
239	37.9777861
240	37.91394055
241	37.90097372
242	37.82415778
243	37.71514102
244	37.65045724
245	37.57231223
246	37.56021546
247	37.49514635
248	37.44403673
249	37.41492933
250	37.36330509
251	37.2876979
252	37.23757863
253	37.13859394
254	37.03861983
255	36.98721398
256	36.89802933
257	36.8853487
258	36.87604498
259	36.8155345
260	36.72163805
261	36.6493856
262	36.64054451
263	36.57968534
264	36.51432535
265	36.37667326
266	36.29707592
267	36.21741983
268	36.1273103
269	36.02211624
270	35.96346203
271	35.95577419
272	35.94528647
273	35.8829973
274	35.8395975
275	35.83211087
276	35.82294133
277	35.73027898
278	35.72062463
279	35.62561822
280	35.52788096
281	35.47450314
282	35.3795226
283	35.32240338
284	35.31386554
285	35.30533528
286	35.29513053
287	35.28672356
288	35.27951277
289	35.20229919
290	35.19495592
291	35.1652502
292	35.10378388
293	35.02735954
294	34.92912414
295	34.8819118
296	34.8100954
297	34.7505783
298	34.67643215
299	34.60351285
