Price,Close,High,Low,Open,Volume
Ticker,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK,ANTM.JK
Date,,,,,
2021-05-31,2035.9903564453125,2060.9208506058676,2002.749697564573,2060.9208506058676,57366900
2021-06-02,2119.092041015625,2119.092041015625,2027.6802274816177,2044.3005572150737,125654300
2021-06-03,2094.161376953125,2160.6426905071926,2077.541048564608,2110.781705341642,131141700
2021-06-04,2019.369873046875,2060.9206934799386,2002.7495448736497,2060.9206934799386,160479400
2021-06-07,1977.8193359375,2035.9904928768383,1969.5091706604517,2035.9904928768383,62115900
2021-06-08,1952.8887939453125,2011.059949509641,1952.8887939453125,1986.129454267786,58838700
2021-06-09,2044.3004150390625,2060.9207436166157,1969.5089364400724,1977.8191007288492,117338500
2021-06-10,2011.059814453125,2060.9208015883264,2011.059814453125,2027.6801434981921,79751900
2021-06-11,2060.920654296875,2077.540982154108,2027.6799985824093,2044.3003264396423,94696000
2021-06-14,2002.7496337890625,2052.6106205224,1994.4394693335062,2052.6106205224,64557400
2021-06-15,1961.1988525390625,1986.129346427271,1944.578523280257,1986.129346427271,84189100
2021-06-16,1927.958251953125,1961.1989114695582,1911.3379221949083,1936.2684168322332,77248800
2021-06-17,1936.268310546875,1952.8886393927708,1878.0971595862393,1903.027652855083,74868000
2021-06-18,1853.1668701171875,1927.9583581488228,1836.5465394434907,1911.338027475126,125507700
2021-06-21,1828.236083984375,1869.7869040749288,1770.0649358575993,1819.925919966264,100386700
2021-06-22,1878.0972900390625,1911.3379500397539,1844.8566300383711,1869.7871250388898,97671600
2021-06-23,1869.7869873046875,1919.6479736328124,1861.4768229166666,1894.71748046875,64275900
2021-06-24,1869.7869873046875,1903.0276448567708,1861.4768229166666,1894.71748046875,59257500
2021-06-25,1911.337890625,1944.5785495923915,1894.7175611413045,1919.648055366848,90478300
2021-06-28,1861.4769287109375,1919.6480827331543,1853.1667638506208,1919.6480827331543,65985000
2021-06-29,1844.8564453125,1869.786937816723,1836.5462811444256,1853.1666094805744,55524500
2021-06-30,1911.337890625,1919.648055366848,1853.1667374320652,1861.476902173913,95174800
2021-07-01,1853.1668701171875,1919.6481928119745,1828.2363741066424,1894.7176968014294,89606900
2021-07-02,1844.8564453125,1869.786937816723,1819.925952808277,1853.1666094805744,57200500
2021-07-05,1861.4769287109375,1878.097258431571,1844.8565989903043,1853.1667638506208,60698700
2021-07-06,2060.920654296875,2085.8511460827244,1861.4767200100807,1869.7868839386972,365880400
2021-07-07,2044.3004150390625,2052.6105793278393,1977.8191007288492,2035.990250750286,146473200
2021-07-08,2119.092041015625,2168.953030215993,2044.3005572150737,2044.3005572150737,227835500
2021-07-09,2152.33251953125,2185.5731762035475,2102.471534522804,2127.402027027027,185723500
2021-07-12,2119.092041015625,2218.81401941636,2094.161546415441,2168.953030215993,176941700
2021-07-13,2110.78173828125,2168.9528885488435,2077.541080985482,2127.402066929134,128321100
2021-07-14,2152.33251953125,2160.642683699324,2077.5410420185813,2110.7816986908783,73148100
2021-07-15,2168.952880859375,2185.573209448336,2127.402059386973,2144.022387975934,107128500
2021-07-16,2177.26318359375,2235.4343373538886,2168.9530187708733,2185.573348416627,171972500
2021-07-19,2193.88330078125,2218.8137928355823,2168.9528087269173,2185.5731367631392,74138600
2021-07-21,2127.40234375,2193.8836669921875,2110.782012939453,2177.2633361816406,99038100
2021-07-22,2135.712158203125,2160.642650322228,2127.401994163424,2127.401994163424,59407500
2021-07-23,2177.26318359375,2218.814007708135,2160.642853947996,2160.642853947996,130437900
