Price,Close,High,Low,Open,Volume
Ticker,PTBA.JK,PTBA.JK,PTBA.JK,PTBA.JK,PTBA.JK
Date,,,,,
2021-05-31,1016.1459350585938,1029.9397712811085,1006.9500442435839,1006.9500442435839,11327800
2021-06-02,1080.51708984375,1089.71297997008,1025.3417490857714,1029.9396941489363,64936900
2021-06-03,1066.723388671875,1080.5172255943562,1057.527497390221,1080.5172255943562,22029200
2021-06-04,1048.33154296875,1066.723324424342,1048.33154296875,1057.527433696546,12600600
2021-06-07,1020.743896484375,1048.331569362331,1020.743896484375,1048.331569362331,18213400
2021-06-08,1006.9500732421875,1048.3315831014554,1006.9500732421875,1039.135692021618,30094000
2021-06-09,1020.743896484375,1029.9397874436936,1006.9500600453969,1011.5480055250563,21115000
2021-06-10,1011.5479736328125,1034.5377003062856,1011.5479736328126,1029.939754971591,22824900
2021-06-11,1052.9295654296875,1075.9192939325192,1006.9501084240243,1025.3418912262896,76607700
2021-06-14,1052.9295654296875,1071.3213482319527,1039.1357283279885,1057.5275111302537,21724800
2021-06-15,1029.9398193359375,1052.9295474461146,1020.7439280918667,1052.9295474461146,14850800
2021-06-16,1039.1356201171875,1048.3315105607023,1006.9500035648853,1020.7438392301576,30760900
2021-06-17,1011.5479736328125,1034.5377003062856,1011.5479736328126,1025.3418096368964,21771400
2021-06-18,974.764404296875,1016.1459120264593,970.1664589935879,1002.3520761165979,37712000
2021-06-21,956.3727416992188,965.5686334463267,942.578904078557,965.5686334463267,22927200
2021-06-22,965.5685424804688,974.7644333612351,956.3726515997023,965.5685424804688,13637600
2021-06-23,942.578857421875,974.7644769435975,942.578857421875,970.1665312976371,16552300
2021-06-24,933.3828735351562,951.7746542944697,928.7849283453279,942.578763914813,14156800
2021-06-25,933.3828735351562,951.7746542944697,928.7849283453279,937.9808187249846,18516800
2021-06-28,924.1870727539062,951.7747465674556,924.1870727539062,942.5788552962725,12391800
2021-06-29,919.5891723632812,933.3830099487305,917.2901994323731,919.5891723632812,13399800
2021-06-30,919.5891723632812,933.3830099487305,917.2901994323731,919.5891723632812,18161700
2021-07-01,924.1870727539062,942.5788552962725,919.5891271183147,933.3829640250893,11926800
2021-07-02,965.5685424804688,974.7644333612351,928.7849789574033,933.3829243977864,19535700
2021-07-05,947.1767578125,979.3623757964199,937.9808669599515,970.1664849438714,16037200
2021-07-06,988.5582885742188,997.7541796307231,960.9706154047057,970.16650646121,24718600
2021-07-07,965.5685424804688,979.3623788016182,965.5685424804688,979.3623788016182,13590700
2021-07-08,951.7747192382812,974.7644467561141,947.1767737347147,970.1665012525476,11132900
2021-07-09,979.3624267578125,988.5583180888718,947.1768070991051,960.970644095694,15219500
2021-07-12,974.764404296875,993.1561855100236,974.764404296875,988.5582402067365,12700100
2021-07-13,956.3727416992188,983.9604169405424,947.1768499521108,974.7645251934345,12721100
2021-07-14,951.7747192382812,974.7644467561141,947.1767737347147,956.3726647418479,11271500
2021-07-15,965.5685424804688,970.1664879208519,951.7747061593192,951.7747061593192,7678900
