Date,Forecast_Price
2026-05-29,3092.7656263009344
2026-05-30,3086.045199433197
2026-05-31,3073.8762498592423
2026-06-01,3091.6681866290464
2026-06-02,3092.9581776315163
2026-06-03,3089.115896730582
2026-06-04,3096.18860335431
2026-06-05,3102.395471633332
2026-06-06,3101.0666712158195
2026-06-07,3096.394955099605
2026-06-08,3114.5381451498465
2026-06-09,3115.607419390256
2026-06-10,3114.319256345332
2026-06-11,3115.9752660482823
2026-06-12,3113.164000341839
2026-06-13,3113.103547290772
2026-06-14,3108.726045211638
2026-06-15,3113.013202534265
2026-06-16,3112.432034547354
2026-06-17,3109.9085434744925
2026-06-18,3110.5798604611227
2026-06-19,3112.5208474616584
2026-06-20,3112.5208474616584
2026-06-21,3109.7993550854744
2026-06-22,3108.130746539389
2026-06-23,3110.5798604611227
2026-06-24,3111.632744291221
2026-06-25,3114.059121801851
2026-06-26,3113.2786164262025
2026-06-27,3112.850681283991
2026-06-28,3111.3703208186134
2026-06-29,3111.3703208186134
2026-06-30,3114.4443834282342
2026-07-01,3121.623843633591
2026-07-02,3111.417788466066
2026-07-03,3104.664211114609
2026-07-04,3103.7803534700192
2026-07-05,3102.219352260041
2026-07-06,3102.219352260041
2026-07-07,3089.2300317279896
2026-07-08,3093.3793846527046
2026-07-09,3111.1460117494908
2026-07-10,3110.776113052705
2026-07-11,3107.34509681268
2026-07-12,3107.34509681268
2026-07-13,3108.2289544572695
2026-07-14,3111.730952209102
2026-07-15,3111.9349437929855
2026-07-16,3112.818801437575
2026-07-17,3111.849530475028
2026-07-18,3109.7993550854744
2026-07-19,3109.7993550854744
2026-07-20,3108.130746539389
2026-07-21,3108.911251915037
2026-07-22,3111.632744291221
2026-07-23,3111.632744291221
2026-07-24,3108.130746539389
2026-07-25,3110.5571240500185
2026-07-26,3111.610007880117
2026-07-27,3111.610007880117
2026-07-28,3110.482217648176
2026-07-29,3110.482217648176
2026-07-30,3110.482217648176
2026-07-31,3114.159680101701
2026-08-01,3116.881172477885
2026-08-02,3108.7197418016563
2026-08-03,3101.971085825755
2026-08-04,3101.971085825755
2026-08-05,3103.747301707948
2026-08-06,3106.468794084132
2026-08-07,3101.5285739149845
2026-08-08,3104.9801025656507
2026-08-09,3110.066589188864
2026-08-10,3110.066589188864
2026-08-11,3108.1256021883282
2026-08-12,3108.1256021883282
2026-08-13,3108.1256021883282
2026-08-14,3107.34509681268
2026-08-15,3108.432946041153
2026-08-16,3111.154438417337
2026-08-17,3111.849530475028
2026-08-18,3113.3013528373067
2026-08-19,3113.3013528373067
2026-08-20,3110.5798604611227
2026-08-21,3109.7993550854744
2026-08-22,3109.7993550854744
2026-08-23,3109.7993550854744
2026-08-24,3109.7993550854744
2026-08-25,3111.337629425667
2026-08-26,3114.059121801851
