Date,Forecast_Price
2026-05-29,1860.071962299368
2026-05-30,1869.5946838152124
2026-05-31,1874.9080560140667
2026-06-01,1875.843634177545
2026-06-02,1876.0769303689517
2026-06-03,1873.7485212627846
2026-06-04,1865.9426455297573
2026-06-05,1859.130368959018
2026-06-06,1861.7631425989791
2026-06-07,1861.924305421592
2026-06-08,1861.8300237444544
2026-06-09,1860.4305276868743
2026-06-10,1857.6740953500193
2026-06-11,1857.2564705918141
2026-06-12,1857.8424359943285
2026-06-13,1858.159518558924
2026-06-14,1858.159518558924
2026-06-15,1858.7454839614384
2026-06-16,1859.081630780303
2026-06-17,1856.6198266504534
2026-06-18,1858.3374005075211
2026-06-19,1858.7805803622055
2026-06-20,1858.853005255178
2026-06-21,1858.7355349353418
2026-06-22,1857.3172408187786
2026-06-23,1857.0292382777482
2026-06-24,1854.6967528725245
2026-06-25,1856.7775025371081
2026-06-26,1857.308529453904
2026-06-27,1858.8348349536855
2026-06-28,1859.0990687636177
2026-06-29,1860.2533387857643
2026-06-30,1860.2401005487914
2026-07-01,1856.2808823428243
2026-07-02,1858.7210193318124
2026-07-03,1859.562310539139
2026-07-04,1860.992182888752
2026-07-05,1859.2366240794693
2026-07-06,1858.7827760915957
2026-07-07,1858.7914442623753
2026-07-08,1856.7794118213428
2026-07-09,1819.2851541858288
2026-07-10,1841.7340981001596
2026-07-11,1880.0584675061887
2026-07-12,1891.9078155165203
2026-07-13,1871.889691730672
2026-07-14,1867.3151378370567
2026-07-15,1863.919234314488
2026-07-16,1866.4807493631292
2026-07-17,1860.990103400443
2026-07-18,1865.1665244473224
2026-07-19,1861.7206915490917
2026-07-20,1860.8794003417652
2026-07-21,1860.142347077699
2026-07-22,1857.7285207124573
2026-07-23,1857.8440529031425
2026-07-24,1860.089287522276
2026-07-25,1859.4210538477394
2026-07-26,1857.3195907688719
2026-07-27,1857.3195907688719
2026-07-28,1859.4732737460977
2026-07-29,1857.1221735501508
2026-07-30,1859.0637810606204
2026-07-31,1859.905072267947
2026-08-01,1860.2533387857643
2026-08-02,1859.6459737066748
2026-08-03,1858.3953328721427
2026-08-04,1858.7914442623753
2026-08-05,1857.1668550407958
2026-08-06,1858.7210193318124
2026-08-07,1859.562310539139
2026-08-08,1859.6240672989222
2026-08-09,1859.2366240794693
2026-08-10,1858.3953328721427
2026-08-11,1858.7914442623753
2026-08-12,1856.7794118213428
2026-08-13,1858.7210193318124
2026-08-14,1859.562310539139
2026-08-15,1859.2366240794693
2026-08-16,1858.3953328721427
2026-08-17,1858.7827760915957
2026-08-18,1860.5961950655726
2026-08-19,1857.7428714172136
2026-08-20,1859.6844789276831
2026-08-21,1860.1383269155567
2026-08-22,1859.2356375466504
2026-08-23,1857.5183664434728
2026-08-24,1857.9058096629258
2026-08-25,1859.0203723913135
2026-08-26,1855.703669718072
