Price,Close,High,Low,Open,Volume
Ticker,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
Date,,,,,
2021-05-31,374.3582458496094,374.3582458496094,368.0665106252462,371.2123782374278,59786600
2021-06-02,396.37939453125,396.37939453125,375.9312511625744,375.9312511625744,221123100
2021-06-03,393.2334899902344,397.95229187011716,388.5146881103515,397.95229187011716,58947200
2021-06-04,386.9418029785156,396.3794079292111,380.6500663447186,391.66060545386335,58632800
2021-06-07,379.07708740234375,386.94175726546297,377.50415342971996,386.94175726546297,36090000
2021-06-08,380.6500244140625,388.5146943399729,379.0770904288804,383.7958923844267,46908800
2021-06-09,382.2229919433594,385.3688601898068,379.077123696912,382.2229919433594,40082700
2021-06-10,380.6500244140625,390.087628325155,380.6500244140625,386.9417603547908,39268300
2021-06-11,413.681640625,424.69217858840307,385.3688287191065,385.3688287191065,386854000
2021-06-14,416.8274841308594,421.54628583800115,407.38988071657576,415.25455022847876,107804300
2021-06-15,412.1087341308594,415.2546023303316,402.6711295324427,415.2546023303316,109048500
2021-06-16,438.8486633300781,440.42159760724684,405.8170435095346,408.96291206387207,264328700
2021-06-17,426.26507568359375,441.9944142697042,426.26507568359375,435.70267883526003,81946100
2021-06-18,412.1087341308594,432.55687742742873,404.24406363217884,426.26514102848427,149122700
2021-06-21,404.24407958984375,410.5358162371565,393.23354045704644,405.81701375167194,84475900
2021-06-22,405.81695556640625,413.68162524792575,401.0981537574946,407.38988950271016,77750600
2021-06-23,396.37939453125,413.6816696893601,394.80646042596726,410.53580147879467,73515700
2021-06-24,391.66058349609375,399.52525384742097,385.368847215032,396.37938570689005,52732300
2021-06-25,404.24407958984375,407.3899479135001,388.5147379715619,394.80647461887463,106349300
2021-06-28,388.5147399902344,410.5358183702477,386.9418058202334,408.9628842002467,71317300
2021-06-29,382.2229919433594,391.6605966827016,379.077123696912,386.9417943130305,46827300
2021-06-30,379.07708740234375,385.3688232928391,374.3582854844723,382.22295534759144,76460900
2021-07-01,379.07708740234375,390.0876252107106,375.9312194570961,383.7958893202153,53853700
2021-07-02,396.37939453125,399.5252627418155,379.07711937313985,383.7959216889881,115326200
2021-07-05,388.5147399902344,397.95234501024004,386.9418058202334,397.95234501024004,50259700
2021-07-06,405.81695556640625,408.9628234390141,394.806418012279,396.37935194858284,83567200
2021-07-07,393.2334899902344,401.098159790039,386.9417541503906,401.098159790039,72700000
2021-07-08,383.7959289550781,393.2335337654489,380.65006068495455,393.2335337654489,50605000
2021-07-09,393.2334899902344,394.80642395019527,382.2229522705078,386.9417541503906,46284000
2021-07-12,388.5147399902344,399.525279180241,388.5147399902344,399.525279180241,43425000
2021-07-13,386.9418029785156,391.66060545386335,383.7959346616171,390.0876712954141,30860600
2021-07-14,383.7959289550781,394.8064679005107,382.22299482001637,386.94179722520175,57171600
2021-07-15,385.3687744140625,390.08757573341836,382.22290686782526,382.22290686782526,45141600
2021-07-16,390.087646484375,396.37938271799396,385.3688443091608,390.087646484375,44257000
2021-07-19,393.2334899902344,397.95229187011716,390.0876220703125,393.2334899902343,47573900
2021-07-21,390.087646484375,396.37938271799396,388.5147124259703,396.37938271799396,50329700
2021-07-22,419.973388671875,421.5463227118446,390.0876419124532,393.2335099923923,178204200
2021-07-23,410.5357971191406,419.97340165061513,407.3899289419825,419.97340165061513,69244900
2021-07-26,402.6711120605469,412.10871624946594,401.09817802906036,408.9628481864929,55386900
2021-07-27,401.0981750488281,410.5357791676241,396.3793729894302,405.8169771082261,31381500
2021-07-28,399.52520751953125,404.24400918314774,394.8064058559147,402.67107529527556,46422700
2021-07-29,416.8274841308594,423.11921974038177,401.0981451070533,404.24401291181454,103637900
